tc_day,tc_date,beta1,beta2,e_mult,i_mult,R_before,R_after,SSE,RMSE,R2,AIC,BIC
46,2025-06-16,0.25036056508537124,0.15371602292036207,1.0547886345114061,0.9536669516917342,1.251802825426856,0.7685801146018103,4006426268.9362054,5117.205546724323,0.006368060042692081,2623.3513158781775,2638.5035054851396
47,2025-06-17,0.24892973937434915,0.14560045936518712,1.0559092366389269,0.9539744336259774,1.2446486968717456,0.7280022968259355,3950604103.623796,5081.431083243214,0.020212489638725684,2621.204552321126,2636.356741928088
48,2025-06-18,0.2453772390854763,0.14937759084561128,1.0607954363254217,0.9649815829398996,1.2268861954273813,0.7468879542280563,3600769433.6536655,4851.230848231654,0.1069748255593721,2607.018246871622,2622.170436478584
49,2025-06-19,0.24537723982964296,0.1493775908426338,1.0607954425455417,0.9649815783967463,1.2268861991482147,0.746887954213169,3984570058.3643627,5103.228542593111,0.011788608794330968,2622.5143717928195,2637.6665613997816
50,2025-06-20,0.2446963441467076,0.14870079322728866,1.0587758691480256,0.9652137320947238,1.223481720733538,0.7435039661364432,4200069733.3666315,5239.4118148695825,-0.04165736668583908,2630.573143714864,2645.725333321826
51,2025-06-21,0.24167795071739298,0.15410599447250756,1.0592729586885887,0.9615829919381725,1.2083897535869648,0.7705299723625377,3856087938.8693986,5020.277795395116,0.04365340027531972,2617.4996079581397,2632.651797565102
52,2025-06-22,0.23983926297555158,0.15665927555870254,1.0616874828847875,0.9598363726442461,1.1991963148777578,0.7832963777935127,3798194658.6231513,4982.44936656133,0.05801148613542584,2615.1851282725834,2630.3373178795455
53,2025-06-23,0.23348593857925953,0.16218865588220457,1.0507173030544072,0.9683014002588258,1.1674296928962975,0.8109432794110228,2903531064.679834,4356.297420990632,0.27989659340712814,2574.0895946170126,2589.2417842239747
54,2025-06-24,0.23317953726036447,0.16218636494906397,1.045733964410561,0.9622795185781516,1.1658976863018222,0.8109318247453198,3031490869.3885365,4451.254408927552,0.24816134097653086,2580.6880148755527,2595.8402044825148
55,2025-06-25,0.2330115495138861,0.1621777365158673,1.0510176672753722,0.9626764969176497,1.1650577475694306,0.8108886825793366,3219657654.788968,4587.321013793129,0.20149418290036192,2589.9017515136447,2605.053941120607
56,2025-06-26,0.2182718208470619,0.17186364168469925,1.4463203008641592,1.1262501302574681,1.0913591042353095,0.8593182084234963,2200478983.2064314,3792.3891646971865,0.4542602174233332,2531.669954694588,2546.82214430155
57,2025-06-27,0.21824545538317702,0.17186021465919907,1.4466959123826901,1.1255497294122998,1.091227276915885,0.8593010732959953,2289682768.138735,3868.494132163052,0.4321368276679656,2537.7499027320328,2552.902092338995
58,2025-06-28,0.21486555293940085,0.16783621772741988,1.4496903687429212,1.1297352652873578,1.0743277646970042,0.8391810886370994,2108823847.646435,3712.568168117304,0.4769915655226734,2525.1606182857945,2540.3128078927566
59,2025-06-29,0.21486555444270342,0.1678362177147042,1.449690381104264,1.1297352805634544,1.074327772213517,0.8391810885735209,2153594049.9199905,3751.7699961554445,0.4658881282069117,2528.3748000143255,2543.5269896212876
60,2025-06-30,0.21480253428653287,0.1681768871973308,1.450371665023645,1.1316395321036432,1.0740126714326643,0.8408844359866539,2198190232.5457253,3790.416391620779,0.4548278494241288,2531.510734318827,2546.662923925789
61,2025-07-01,0.21342435210402863,0.16950370339728538,1.4478552922718686,1.131925493486814,1.067121760520143,0.8475185169864269,2202675760.0007353,3794.2816968137786,0.45371539581892695,2531.822621088125,2546.974810695087
62,2025-07-02,0.2134124602602613,0.1694643839017089,1.4512672550379146,1.129392206997188,1.0670623013013065,0.8473219195085444,2245783108.3455267,3831.22969418157,0.44302436214276664,2534.787976483716,2549.9401660906783
63,2025-07-03,0.21276836729236645,0.17059331456432728,1.448739042530384,1.1292775626287934,1.0638418364618323,0.8529665728216363,2278429121.695971,3858.9757197805766,0.4349278393566659,2536.9960633207115,2552.1482529276736
