replicate,seed,success,error,change_index,change_date,beta1,beta2,e_mult,i_mult,R_before,R_after,optimizer_success,SSE,RMSE,R2,AIC,BIC
247,2293296505,True,,24,2025-05-25,0.27997092587655453,0.1765347106192528,1.0155219936938042,1.0069453269316768,1.3998546293827725,0.8826735530962639,True,628894802.304105,2027.4179501206145,0.8360829542457808,2340.042604901892,2355.194794508854
248,1808424460,True,,20,2025-05-21,0.2771434436824881,0.17344476739471945,0.9963624302118602,0.9990059869916752,1.3857172184124404,0.8672238369735972,True,527049265.9752842,1856.0082015667126,0.8630014090448646,2313.0120996788933,2328.1642892858554
249,2415010441,True,,22,2025-05-23,0.263224598789075,0.17553949575174468,1.0000514810692103,1.0001415321025626,1.316122993945375,0.8776974787587234,True,555057047.6006339,1904.6847089550067,0.8525733820516989,2320.933960626343,2336.086150233305
250,3395891597,True,,23,2025-05-24,0.2903508534931107,0.17356853849192358,1.0005508240572554,1.0606295128069196,1.4517542674655532,0.8678426924596179,True,627660958.5278509,2025.4281537651207,0.8688131362617242,2339.7421356918126,2354.8943252987747
251,4009987955,True,,20,2025-05-21,0.2799846261133917,0.17268835440002236,0.9998910490132813,0.9998609811496664,1.3999231305669584,0.8634417720001117,True,377044100.47657835,1569.8218134523129,0.917388734017959,2261.7675235692072,2276.9197131761694
252,3301015667,True,,23,2025-05-24,0.27977672459208974,0.1744375520517674,0.9993303153451614,1.000429365280358,1.3988836229604487,0.8721877602588369,True,489403320.6563543,1788.4950416743736,0.8845548967948088,2301.6737146254636,2316.8259042324257
253,1613843410,True,,21,2025-05-22,0.27969694117747745,0.17361399042976494,0.9996866274518958,1.0000405729992394,1.3984847058873873,0.8680699521488247,True,881009332.3293374,2399.631415500536,0.8159396497962087,2391.61955086614,2406.771740473102
254,1718915858,True,,24,2025-05-25,0.2800467235396483,0.17600419631378494,0.9998254403363328,0.9946783179034508,1.4002336176982415,0.8800209815689247,True,767945891.1864309,2240.369208581699,0.8315285048810214,2370.605162697134,2385.757352304096
255,3524226780,True,,19,2025-05-20,0.2798713407417198,0.17406670041214736,1.0000248776647636,0.9996419557637053,1.399356703708599,0.8703335020607368,True,442348158.7330487,1700.342446733515,0.8788458199693375,2286.206994398025,2301.359184004987
256,1110447413,True,,24,2025-05-25,0.2853406412871576,0.17285928014898402,1.0165667914573835,1.0449565882610934,1.4267032064357879,0.8642964007449201,True,440170471.481618,1696.1518759103992,0.8857760063503253,2285.4519127163094,2300.6041023232715
